sez,cod_prov,cod_com,cogn,d_nasc,l_nasc,pos,tot_vot_lis,descr_lista,voti
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,SVEGLIA,14
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,11
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,MOVIMENTO 5 STELLE,11
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,IO SUD,58
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,FRATELLI D'ITALIA,38
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,PRIMA LECCE,31
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,MOVIMENTO REGIONE SALENTO,29
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,FORZA ITALIA - PPE,27
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,LECCE FUTURA PALA,27
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,21
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,TUTTA LECCE LISI,12
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,LEGA SALVINI PUGLIA,10
8,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,VOCE NAZIONALE,2
8,41,340,CIUCCI,19650716000000,NAPOLI,1,9,DIRITTI E CIVILTA' PER LECCE,9
8,41,340,SICULELLA,19851203000000,NARDO',3,5,ARIA,3
8,41,340,SICULELLA,19851203000000,NARDO',3,5,MIND MENTI INDIPENDENTI,2
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,FRATELLI D'ITALIA,47
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,PRIMA LECCE,45
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,IO SUD,28
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,LECCE FUTURA PALA,22
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,MOVIMENTO REGIONE SALENTO,19
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,LEGA SALVINI PUGLIA,17
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,FORZA ITALIA - PPE,16
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,13
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,TUTTA LECCE LISI,9
9,41,340,POLI IN BORTONE,19430825000000,LECCE,2,216,VOCE NAZIONALE,0
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,PARTITO DEMOCRATICO,59
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,COSCIENZA CIVICA,31
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,LECCE CITTA' PUBBLICA,26
9,41,340,SALVEMINI,19660604000000,LECCE,4,191,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,18
