comune,ref,numero_comuni,comuni_capoluogo,comuni_sup_15000,comuni_inf_15000,comuni_rinnovo_motivi_diversi,comuni_sciolti_rinnovo,popolazione_2021,sezioni_2023,elettori_2023,CODICE ISTAT
PIACENZA D'ADIGE,26_table_03,1.0,,,inf,,,1231,2,953,028062
PIAZZOLA SUL BRENTA,26_table_03,1.0,,,inf,,,11093,11,9435,028063
POLVERARA,26_table_03,1.0,,,inf,,,3373,3,2849,028066
PONSO,26_table_03,1.0,,,inf,,,2397,3,2090,028067
PONTE SAN NICOLO',26_table_03,1.0,,,inf,,,13307,11,10975,028069
PONTELONGO,26_table_03,1.0,,,inf,,,3641,4,2905,028068
RUBANO,26_table_03,1.0,,SUP,,,,16794,14,13732,028072
SACCOLONGO,26_table_03,1.0,,,inf,,,4900,4,4371,028073
SAN GIORGIO DELLE PERTICHE,26_table_03,1.0,,,inf,,,10130,10,8179,028075
SAN GIORGIO IN BOSCO,26_table_03,1.0,,,inf,,#,6389,6,5639,028076
SAN PIETRO IN GU,26_table_03,1.0,,,inf,,,4257,4,3615,028078
SAN PIETRO VIMINARIO,27_table_01,1.0,,,inf,,,3048,3,2531,028079
SANT'ELENA,27_table_01,1.0,,,inf,,,2530,2,2012,028083
SANTA CATERINA D'ESTE,27_table_01,1.0,,,inf,*,,2389,3,2167,028108
SANTA GIUSTINA IN COLLE,27_table_01,1.0,,,inf,,,7156,6,6091,028080
SELVAZZANO DENTRO,27_table_01,1.0,,SUP,,,#,22961,23,18723,028086
STANGHELLA,27_table_01,1.0,,,inf,,,4138,5,3613,028088
TERRASSA PADOVANA,27_table_01,1.0,,,inf,,,2677,3,2279,028090
TOMBOLO,27_table_01,1.0,,,inf,,,8240,7,7123,028091
TREBASELEGHE,27_table_01,1.0,,,inf,,,12889,12,10778,028093
TRIBANO,27_table_01,1.0,,,inf,,,4247,4,3697,028094
URBANA,27_table_01,1.0,,,inf,,,2044,3,1668,028095
VILLA DEL CONTE,27_table_01,1.0,,,inf,,,5562,5,4388,028101
VILLA ESTENSE,27_table_01,1.0,,,inf,,,2105,2,2040,028102
VILLAFRANCA PADOVANA,27_table_01,1.0,,,inf,,,10515,9,8686,028103
VO',27_table_01,1.0,,,inf,,,3283,3,3116,028105
ARIANO NEL POLESINE,27_table_02,1.0,,,inf,,,4000,6,3564,029002
ARQUA' POLESINE,27_table_02,1.0,,,inf,,,2616,3,2393,029003
BAGNOLO DI PO,27_table_02,1.0,,,inf,,,1235,2,1108,029005
BERGANTINO,27_table_02,1.0,,,inf,,,2422,3,2386,029006
BOSARO,27_table_02,1.0,,,inf,,,1451,2,1074,029007
CALTO,27_table_02,1.0,,,inf,,,659,1,790,029008
CANDA,27_table_02,1.0,,,inf,,,855,1,752,029010
CASTELGUGLIELMO,27_table_02,1.0,,,inf,,,1514,2,1439,029011
CASTELMASSA,27_table_02,1.0,,,inf,,,3997,5,3389,029012
CASTELNOVO BARIANO,27_table_02,1.0,,,inf,,,2639,3,2631,029013
CENESELLI,27_table_02,1.0,,,inf,,,1552,2,1145,029014
CORBOLA,27_table_02,1.0,,,inf,,,2171,3,1927,029017
COSTA DI ROVIGO,27_table_02,1.0,,,inf,,,2448,3,2128,029018
CRESPINO,27_table_02,1.0,,,inf,,,1733,2,1680,029019
FRASSINELLE POLESINE,27_table_02,1.0,,,inf,,,1344,2,1105,029023
GAIBA,27_table_02,1.0,,,inf,,,970,1,788,029025
GAVELLO,27_table_02,1.0,,,inf,,,1451,2,1293,029026
GUARDA VENETA,27_table_02,1.0,,,inf,,,1102,1,986,029028
LENDINARA,27_table_02,1.0,,,inf,,,11457,14,9639,029029
LOREO,27_table_02,1.0,,,inf,,,3275,4,2666,029030
MELARA,27_table_02,1.0,,,inf,,,1702,2,1589,029032
OCCHIOBELLO,27_table_02,1.0,,,inf,,,12002,10,9936,029033
PAPOZZE,27_table_02,1.0,,,inf,,,1355,3,1444,029034
PETTORAZZA GRIMANI,27_table_02,1.0,,,inf,,,1483,2,1393,029035
PINCARA,27_table_02,1.0,,,inf,,,1095,1,894,029036
POLESELLA,27_table_02,1.0,,,inf,,,3740,4,3394,029037
PONTECCHIO POLESINE,27_table_02,1.0,,,inf,,,2214,2,1850,029038
ROVIGO,27_table_02,1.0,CAP,SUP,,,#,50190,55,42251,029041
SALARA,27_table_02,1.0,,,inf,,,1053,1,971,029042
SAN BELLINO,27_table_02,1.0,,,inf,,,1035,1,859,029043
VILLANOVA DEL GHEBBO,27_table_02,1.0,,,inf,,,1983,3,1594,029050
VILLANOVA MARCHESANA,27_table_02,1.0,,,inf,,,879,1,796,029051
ALTIVOLE,27_table_03,1.0,,,inf,,,7015,5,6366,026001
ASOLO,27_table_03,1.0,,,inf,,,8960,8,8485,026003
CAERANO DI SAN MARCO,27_table_03,1.0,,,inf,,,7849,6,6618,026006
CARBONERA,27_table_03,1.0,,,inf,,,11277,10,9810,026008
CASIER,27_table_03,1.0,,,inf,,,11356,11,10137,026010
CAVASO DEL TOMBA,27_table_03,1.0,,,inf,,,2872,3,3208,026014
CIMADOLMO,27_table_03,1.0,,,inf,,,3343,3,3068,026017
CISON DI VALMARINO,27_table_03,1.0,,,inf,,,2540,3,3549,026018
CODOGNE',27_table_03,1.0,,,inf,,,5225,5,5798,026019
COLLE UMBERTO,27_table_03,1.0,,,inf,,,5071,4,4841,026020
CORNUDA,27_table_03,1.0,,,inf,,,6286,6,5836,026023
CROCETTA DEL MONTELLO,27_table_03,1.0,,,inf,,,6057,6,6084,026025
FARRA DI SOLIGO,27_table_03,1.0,,,inf,,,8508,7,8200,026026
FOLLINA,27_table_03,1.0,,,inf,,,3634,4,4112,026027
FONTE,27_table_03,1.0,,,inf,,,6066,4,5472,026029
FREGONA,27_table_03,1.0,,,inf,,,2815,4,3965,026030
GAIARINE,27_table_03,1.0,,,inf,,,6025,7,6024,026031
GIAVERA DEL MONTELLO,27_table_03,1.0,,,inf,,,5165,6,5667,026032
GORGO AL MONTICANO,27_table_03,1.0,,,inf,,,4013,4,4211,026034
LORIA,27_table_03,1.0,,,inf,,,9313,9,8903,026036
MANSUE',27_table_03,1.0,,,inf,,,4967,4,4444,026037
MASER,27_table_03,1.0,,,inf,,,5125,5,5090,026039
MASERADA SUL PIAVE,27_table_03,1.0,,,inf,,,9225,10,8108,026040
MEDUNA DI LIVENZA,27_table_03,1.0,,,inf,,,2947,3,2170,026041
MIANE,28_table_01,1.0,,,inf,,,3144,4,3653,026042
MOGLIANO VENETO,28_table_01,1.0,,SUP,,,,27626,30,23884,026043
MONASTIER DI TREVISO,28_table_01,1.0,,,inf,,,4429,4,4043,026044
MORGANO,28_table_01,1.0,,,inf,,,4428,4,4014,026047
ORMELLE,28_table_01,1.0,,,inf,,,4515,4,3237,026052
ORSAGO,28_table_01,1.0,,,inf,,,3850,4,3570,026053
PAESE,28_table_01,1.0,,SUP,,,,22012,18,19254,026055
PEDEROBBA,28_table_01,1.0,,,inf,,,7280,7,7852,026056
PIEVE DEL GRAPPA,28_table_01,1.0,,,inf,,,6592,6,6305,026096
PIEVE DI SOLIGO,28_table_01,1.0,,,inf,,,11680,9,10098,026057
PONTE DI PIAVE,28_table_01,1.0,,,inf,,,8286,8,7121,026058
PONZANO VENETO,28_table_01,1.0,,,inf,,,12981,12,11490,026059
POVEGLIANO,28_table_01,1.0,,,inf,,,5104,5,5224,026062
PREGANZIOL,28_table_01,1.0,,SUP,,,,16799,15,14538,026063
QUINTO DI TREVISO,28_table_01,1.0,,,inf,,,9945,9,8456,026064
REFRONTOLO,28_table_01,1.0,,,inf,,,1728,2,1411,026065
REVINE LAGO,28_table_01,1.0,,,inf,,,2103,2,2186,026067
RIESE PIO X,28_table_01,1.0,,,inf,,,10901,9,10059,026068
RONCADE,28_table_01,1.0,,,inf,,,14680,12,12711,026069
SALGAREDA,28_table_01,1.0,,,inf,,,6567,5,5831,026070
SAN FIOR,28_table_01,1.0,,,inf,,,6843,6,6524,026072
SAN PIETRO DI FELETTO,28_table_01,1.0,,,inf,,,5141,5,5252,026073
SAN POLO DI PIAVE,28_table_01,1.0,,,inf,,,4914,4,3687,026074
SAN VENDEMIANO,28_table_01,1.0,,,inf,,,9884,8,8957,026076
SAN ZENONE DEGLI EZZELINI,28_table_01,1.0,,,inf,,,7282,6,6787,026077
SARMEDE,28_table_01,1.0,,,inf,,,2951,5,2435,026078
SERNAGLIA DELLA BATTAGLIA,28_table_01,1.0,,,inf,,,6086,6,5625,026080
VALDOBBIADENE,28_table_01,1.0,,,inf,,,10002,11,9465,026087
VAZZOLA,28_table_01,1.0,,,inf,,,6746,6,5848,026088
VITTORIO VENETO,28_table_01,1.0,,SUP,,,,27310,33,27061,026092
ZERO BRANCO,28_table_01,1.0,,,inf,,,11488,9,9993,026095
ANNONE VENETO,28_table_02,1.0,,,inf,,,3814,4,3935,027001
CAMPONOGARA,28_table_02,1.0,,,inf,,,13005,12,10819,027004
CEGGIA,28_table_02,1.0,,,inf,,,6146,5,5153,027007
CINTO CAOMAGGIORE,28_table_02,1.0,,,inf,,,3114,4,2506,027009
CONA,28_table_02,1.0,,,inf,,,2788,3,2490,027010
CONCORDIA SAGITTARIA,28_table_02,1.0,,,inf,,,10224,10,9366,027011
FOSSALTA DI PIAVE,28_table_02,1.0,,,inf,,,4147,4,3564,027015
FOSSALTA DI PORTOGRUARO,28_table_02,1.0,,,inf,,,5792,7,5904,027016
GRUARO,28_table_02,1.0,,,inf,,,2741,3,2740,027018
MEOLO,28_table_02,1.0,,,inf,,,6229,6,5364,027022
NOALE,28_table_02,1.0,,SUP,,,,16128,16,14077,027026
PORTOGRUARO,28_table_02,1.0,,SUP,,*,,24488,27,22266,027029
SCORZE',28_table_02,1.0,,SUP,,,,18965,17,16099,027037
SPINEA,28_table_02,1.0,,SUP,,,#,27749,26,22061,027038
STRA,28_table_02,1.0,,,inf,,,7599,7,6033,027039
TEGLIO VENETO,28_table_02,1.0,,,inf,,,2256,3,1809,027040
ANGIARI,28_table_03,1.0,,,inf,,,2448,2,2249,023003
BARDOLINO,28_table_03,1.0,,,inf,,,7003,7,5772,023006
BOSCHI SANT'ANNA,28_table_03,1.0,,,inf,,,1361,2,1100,023010
BOSCO CHIESANUOVA,28_table_03,1.0,,,inf,,,3560,4,3067,023011
BRENTINO BELLUNO,28_table_03,1.0,,,inf,,,1350,1,1154,023013
BRENZONE SUL GARDA,28_table_03,1.0,,,inf,,,2456,2,2132,023014
CAPRINO VERONESE,28_table_03,1.0,,,inf,,,8604,8,7217,023018
CASTELNUOVO DEL GARDA,28_table_03,1.0,,,inf,,,13370,12,10826,023022
CAVAION VERONESE,28_table_03,1.0,,,inf,,,6067,6,4939,023023
CONCAMARISE,28_table_03,1.0,,,inf,,,1074,1,909,023029
COSTERMANO SUL GARDA,28_table_03,1.0,,,inf,,,3933,3,3382,023030
DOLCE',28_table_03,1.0,,,inf,,,2502,3,2087,023031
ERBE',28_table_03,1.0,,,inf,,,1886,2,1574,023032
ERBEZZO,28_table_03,1.0,,,inf,,,797,1,630,023033
FUMANE,28_table_03,1.0,,,inf,,,4106,5,3606,023035
LAVAGNO,28_table_03,1.0,,,inf,,,8546,6,6964,023042
LEGNAGO,28_table_03,1.0,,SUP,,,,25313,26,21229,023044
MALCESINE,28_table_03,1.0,,,inf,,,3596,3,2889,023045
MARANO DI VALPOLICELLA,28_table_03,1.0,,,inf,,,3115,3,2569,023046
MEZZANE DI SOTTO,28_table_03,1.0,,,inf,,,2541,4,2048,023047
MONTECCHIA DI CROSARA,28_table_03,1.0,,,inf,,,4218,4,3645,023049
MONTEFORTE D'ALPONE,28_table_03,1.0,,,inf,,,9006,6,6680,023050
MOZZECANE,28_table_03,1.0,,,inf,,,8045,6,6082,023051
NEGRAR DI VALPOLICELLA,28_table_03,1.0,,SUP,,,,16651,17,14188,023052
NOGAROLE ROCCA,29_table_01,1.0,,,inf,,,3835,3,2733,023054
OPPEANO,29_table_01,1.0,,,inf,,,10202,9,7776,023055
PESCANTINA,29_table_01,1.0,,SUP,,,#,17426,14,14502,023058
PESCHIERA DEL GARDA,29_table_01,1.0,,,inf,,,10911,11,8953,023059
PRESSANA,29_table_01,1.0,,,inf,,,2510,2,2096,023061
RONCA',29_table_01,1.0,,,inf,,,3752,3,3312,023063
ROVEREDO DI GUA',29_table_01,1.0,,,inf,,,1618,2,1181,023066
SALIZZOLE,29_table_01,1.0,,,inf,,,3759,4,3156,023068
SAN BONIFACIO,29_table_01,1.0,,SUP,,,,21354,18,16399,023069
SAN PIETRO IN CARIANO,29_table_01,1.0,,,inf,,,12888,12,11081,023076
SAN ZENO DI MONTAGNA,29_table_01,1.0,,,inf,,,1440,1,1209,023079
SANGUINETTO,29_table_01,1.0,,,inf,,,4069,4,3447,023072
SANT'AMBROGIO DI VALPOLICELLA,29_table_01,1.0,,,inf,,,11923,12,9695,023077
SANT'ANNA D'ALFAEDO,29_table_01,1.0,,,inf,,,2540,3,2487,023078
SELVA DI PROGNO,29_table_01,1.0,,,inf,,,884,2,838,023080
SOMMACAMPAGNA,29_table_01,1.0,,,inf,,,14572,14,11716,023082
SORGA',29_table_01,1.0,,,inf,,,2930,3,2350,023084
TERRAZZO,29_table_01,1.0,,,inf,,,2140,2,1883,023085
TORRI DEL BENACO,29_table_01,1.0,,,inf,,,2967,3,2445,023086
VALEGGIO SUL MINCIO,29_table_01,1.0,,SUP,,,#,15857,15,12430,023089
VELO VERONESE,29_table_01,1.0,,,inf,,,771,1,641,023090
VERONELLA,29_table_01,1.0,,,inf,,,5140,4,4155,023092
VESTENANOVA,29_table_01,1.0,,,inf,,,2498,3,2285,023093
ZIMELLA,29_table_01,1.0,,,inf,,,4824,4,4037,023098
AGUGLIARO,29_table_02,1.0,,,inf,,,1414,2,1397,024001
ALONTE,29_table_02,1.0,,,inf,,,1593,2,1416,024003
ALTAVILLA VICENTINA,29_table_02,1.0,,,inf,,#,11820,8,10017,024004
ALTISSIMO,29_table_02,1.0,,,inf,,,2152,2,2141,024005
ARCUGNANO,29_table_02,1.0,,,inf,,,7717,9,7005,024006
ARSIERO,29_table_02,1.0,,,inf,,,3021,4,2951,024007
ARZIGNANO,29_table_02,1.0,,SUP,,,,25094,24,20843,024008
ASIAGO,29_table_02,1.0,,,inf,,,6361,6,6051,024009
ASIGLIANO VENETO,29_table_02,1.0,,,inf,,,844,1,727,024010
BASSANO DEL GRAPPA,29_table_02,1.0,,SUP,,,,42334,41,38581,024012
BREGANZE,29_table_02,1.0,,,inf,,,8381,8,7815,024014
BRESSANVIDO,29_table_02,1.0,,,inf,,,3167,4,2480,024016
CALTRANO,29_table_02,1.0,,,inf,,,2527,3,2425,024019
CALVENE,29_table_02,1.0,,,inf,,,1289,2,1242,024020
CAMISANO VICENTINO,29_table_02,1.0,,,inf,,,11165,9,9019,024021
CAMPIGLIA DEI BERICI,29_table_02,1.0,,,inf,,,1669,2,1575,024022
CARRE',29_table_02,1.0,,,inf,,,3500,3,2764,024024
CARTIGLIANO,29_table_02,1.0,,,inf,,,3711,4,3322,024025
CASSOLA,29_table_02,1.0,,SUP,,,,15090,12,12934,024026
CASTEGNERO,29_table_02,1.0,,,inf,,,2849,3,2223,024027
CHIUPPANO,29_table_02,1.0,,,inf,,,2496,3,2057,024030
COLCERESA,29_table_02,1.0,,,inf,,,5911,6,6613,024126
CORNEDO VICENTINO,29_table_02,1.0,,,inf,,,11708,11,10634,024034
CREAZZO,29_table_02,1.0,,,inf,,,11227,10,9529,024036
DUEVILLE,29_table_02,1.0,,,inf,,,13714,14,12173,024038
FARA VICENTINO,29_table_02,1.0,,,inf,,,3721,4,3365,024040
FOZA,29_table_02,1.0,,,inf,,,661,1,1145,024041
GALLIO,29_table_02,1.0,,,inf,,,2342,3,2579,024042
GRISIGNANO DI ZOCCO,29_table_02,1.0,,,inf,,,4277,4,3637,024046
GRUMOLO DELLE ABBADESSE,29_table_02,1.0,,,inf,,,3808,3,2951,024047
ISOLA VICENTINA,29_table_02,1.0,,,inf,,,10268,10,8867,024048
LASTEBASSE,29_table_02,1.0,,,inf,,,189,1,213,024050
LONGARE,29_table_02,1.0,,,inf,,,5523,5,4475,024051
LUGO DI VICENZA,29_table_02,1.0,,,inf,,,3562,4,3078,024053
LUSIANA CONCO,29_table_02,1.0,,,inf,,,4553,10,3888,024127
MONTE DI MALO,29_table_02,1.0,,,inf,,,2797,3,2605,024063
MONTEBELLO VICENTINO,29_table_02,1.0,,,inf,,,6319,6,5609,024060
MONTECCHIO MAGGIORE,29_table_02,1.0,,SUP,,,,23216,19,19381,024061
MONTECCHIO PRECALCINO,29_table_02,1.0,,,inf,,,4907,4,4637,024062
MONTEGALDELLA,29_table_02,1.0,,,inf,,,1785,2,1628,024065
MONTICELLO CONTE OTTO,29_table_02,1.0,,,inf,,,8983,8,7939,024067
MONTORSO VICENTINO,29_table_02,1.0,,,inf,,,3031,3,2319,024068
MUSSOLENTE,29_table_02,1.0,,,inf,,,7634,6,6859,024070
NOGAROLE VICENTINO,29_table_02,1.0,,,inf,,,1219,1,964,024072
NOVENTA VICENTINA,29_table_02,1.0,,,inf,,,8929,10,8423,024074
PEDEMONTE,29_table_02,1.0,,,inf,,,700,2,726,024076
PIANEZZE,29_table_02,1.0,,,inf,,,2163,2,1786,024077
PIOVENE ROCCHETTE,29_table_02,1.0,,,inf,,,8160,7,7032,024078
POJANA MAGGIORE,29_table_02,1.0,,,inf,,,4271,4,4043,024079
POVE DEL GRAPPA,29_table_02,1.0,,,inf,,,3160,3,2632,024081
POZZOLEONE,30_table_01,1.0,,,inf,,,2773,2,2340,024082
ROANA,30_table_01,1.0,,,inf,,,4161,6,4458,024085
SALCEDO,30_table_01,1.0,,,inf,,#,1024,1,969,024090
SAN PIETRO MUSSOLINO,30_table_01,1.0,,,inf,,,1544,2,1205,024094
SAN VITO DI LEGUZZANO,30_table_01,1.0,,,inf,,,3571,3,3221,024096
SANTORSO,30_table_01,1.0,,,inf,,,5530,6,4938,024095
SARCEDO,30_table_01,1.0,,,inf,,,5337,5,4592,024097
SCHIO,30_table_01,1.0,,SUP,,,,38533,40,34349,024100
SOLAGNA,30_table_01,1.0,,,inf,,,1807,2,1754,024101
SOSSANO,30_table_01,1.0,,,inf,,,4185,4,3539,024102
SOVIZZO,30_table_01,1.0,,,inf,*,,8283,7,7657,024128
TEZZE SUL BRENTA,30_table_01,1.0,,,inf,,,12891,10,11175,024104
TONEZZA DEL CIMONE,30_table_01,1.0,,,inf,,,501,1,668,024106
TORREBELVICINO,30_table_01,1.0,,,inf,,,5817,6,5712,024107
TORRI DI QUARTESOLO,30_table_01,1.0,,,inf,,,11738,10,9789,024108
TRISSINO,30_table_01,1.0,,,inf,,,8638,9,7997,024110
VALBRENTA,30_table_01,1.0,,,inf,,,4870,7,3967,024125
VALDAGNO,30_table_01,1.0,,SUP,,,,25697,28,23209,024111
VALDASTICO,30_table_01,1.0,,,inf,,,1175,3,1839,024112
VALLI DEL PASUBIO,30_table_01,1.0,,,inf,,,3064,4,3627,024113
VELO D'ASTICO,30_table_01,1.0,,,inf,,,2244,2,2328,024115
VILLAGA,30_table_01,1.0,,,inf,,,1872,2,1671,024117
ZANE',30_table_01,1.0,,,inf,,,6587,6,5510,024119
ZOVENCEDO,30_table_01,1.0,,,inf,,,798,1,698,024121
ZUGLIANO,30_table_01,1.0,,,inf,,,6783,7,6137,024122
CAPRIVA DEL FRIULI,31_table_02,1.0,,,inf,,,1617,2,1663,031001
DOBERDO' DEL LAGO,31_table_02,1.0,,,inf,,,1350,2,1275,031003
DOLEGNA DEL COLLIO,31_table_02,1.0,,,inf,,,317,1,401,031004
FARRA D'ISONZO,31_table_02,1.0,,,inf,,,1671,2,1564,031005
GRADISCA D'ISONZO,31_table_02,1.0,,,inf,,,6370,7,5731,031008
GRADO,31_table_02,1.0,,,inf,,*,7789,6,6976,031009
MARIANO DEL FRIULI,31_table_02,1.0,,,inf,,,1464,2,1437,031010
MEDEA,31_table_02,1.0,,,inf,,,949,1,980,031011
MOSSA,31_table_02,1.0,,,inf,,,1522,2,1436,031014
SAN FLORIANO DEL COLLIO,31_table_02,1.0,,,inf,,,742,1,732,031019
SAN LORENZO ISONTINO,31_table_02,1.0,,,inf,,,1506,2,1481,031020
SAVOGNA D'ISONZO,31_table_02,1.0,,,inf,,,1694,2,1482,031022
STARANZANO,31_table_02,1.0,,,inf,,,7246,7,6091,031023
TURRIACO,31_table_02,1.0,,,inf,,#,2806,3,2441,031024
ARBA,31_table_03,1.0,,,inf,,,1274,3,1686,093002
BUDOIA,31_table_03,1.0,,,inf,,,2492,3,2414,093008
CAVASSO NUOVO,31_table_03,1.0,,,inf,*,,1501,2,1695,093012
CHIONS,31_table_03,1.0,,,inf,*,,5100,5,4707,093013
CORDOVADO,31_table_03,1.0,,,inf,,,2726,3,2584,093018
FANNA,31_table_03,1.0,,,inf,,,1480,2,1784,093020
FRISANCO,31_table_03,1.0,,,inf,,,559,1,1334,093024
MEDUNO,31_table_03,1.0,,,inf,,,1504,3,1612,093026
MORSANO AL TAGLIAMENTO,31_table_03,1.0,,,inf,,,2680,4,2779,093028
PASIANO DI PORDENONE,31_table_03,1.0,,,inf,,,7760,8,7033,093029
PORCIA,31_table_03,1.0,,,inf,,,14985,12,13327,093032
ROVEREDO IN PIANO,31_table_03,1.0,,,inf,,,5860,5,5222,093036
SAN MARTINO AL TAGLIAMENTO,31_table_03,1.0,,,inf,,,1453,2,1483,093039
SESTO AL REGHENA,31_table_03,1.0,,,inf,,#,6301,7,6201,093043
TRAMONTI DI SOPRA,31_table_03,1.0,,,inf,,,271,1,641,093045
TRAMONTI DI SOTTO,31_table_03,1.0,,,inf,,,339,1,555,093046
MONRUPINO,31_table_04,1.0,,,inf,,,857,1,814,032002
SAN DORLIGO DELLA VALLE-DOLINA,31_table_04,1.0,,,inf,,,5693,7,5188,032004
SGONICO,31_table_04,1.0,,,inf,,,1999,3,1830,032005
AMARO,31_table_05,1.0,,,inf,,,844,1,750,030002
AMPEZZO,31_table_05,1.0,,,inf,,,920,2,1099,030003
AQUILEIA,31_table_05,1.0,,,inf,,,3148,3,2949,030004
ARTEGNA,31_table_05,1.0,,,inf,,,2882,3,3525,030006
ATTIMIS,31_table_05,1.0,,,inf,,,1683,3,1735,030007
BASILIANO,31_table_05,1.0,,,inf,,,5233,8,4923,030009
BICINICCO,31_table_05,1.0,,,inf,,,1811,2,1968,030011
BUTTRIO,31_table_05,1.0,,,inf,,,3878,4,3479,030014
CAMINO AL TAGLIAMENTO,31_table_05,1.0,,,inf,,,1544,2,1772,030015
CAMPOFORMIDO,31_table_05,1.0,,,inf,,,7857,7,6873,030016
CAMPOLONGO TAPOGLIANO,31_table_05,1.0,,,inf,,,1132,2,1072,030138
CARLINO,31_table_05,1.0,,,inf,,,2702,3,2489,030018
CASSACCO,31_table_05,1.0,,,inf,,,2807,3,2854,030019
CASTIONS DI STRADA,31_table_05,1.0,,,inf,,,3694,4,3653,030020
CAVAZZO CARNICO,31_table_05,1.0,,,inf,,,937,1,965,030021
CERCIVENTO,31_table_05,1.0,,,inf,,,652,1,647,030022
CHIOPRIS-VISCONE,31_table_05,1.0,,,inf,,,682,1,618,030024
CHIUSAFORTE,31_table_05,1.0,,,inf,,,614,1,1001,030025
COLLOREDO DI MONTE ALBANO,31_table_05,1.0,,,inf,,,2192,3,2250,030028
CORNO DI ROSAZZO,31_table_05,1.0,,,inf,,,3118,3,2802,030030
COSEANO,31_table_05,1.0,,,inf,,,2045,3,2029,030031
DIGNANO,31_table_05,1.0,,,inf,,,2262,3,2572,030032
ENEMONZO,31_table_05,1.0,,,inf,,,1280,3,1308,030035
FAGAGNA,31_table_05,1.0,,,inf,,,6010,5,5980,030037
FLAIBANO,31_table_05,1.0,,,inf,,,1095,2,1279,030039
FORNI AVOLTRI,31_table_05,1.0,,,inf,,,515,1,542,030040
FORNI DI SOPRA,31_table_05,1.0,,,inf,,,923,2,1076,030041
FORNI DI SOTTO,31_table_05,1.0,,,inf,,,548,1,879,030042
GONARS,31_table_05,1.0,,,inf,,,4554,5,4290,030044
GRIMACCO,31_table_05,1.0,,,inf,,,293,1,489,030045
LESTIZZA,32_table_01,1.0,,,inf,,,3677,6,3942,030048
LUSEVERA,32_table_01,1.0,,,inf,,,585,3,847,030051
MAGNANO IN RIVIERA,32_table_01,1.0,,,inf,,,2273,3,2424,030052
MALBORGHETTO VALBRUNA,32_table_01,1.0,,,inf,,,910,1,829,030054
MANZANO,32_table_01,1.0,,,inf,,,6238,11,5575,030055
MARANO LAGUNARE,32_table_01,1.0,,,inf,,,1756,2,1689,030056
MERETO DI TOMBA,32_table_01,1.0,,,inf,,,2530,4,2948,030058
MOGGIO UDINESE,32_table_01,1.0,,,inf,,,1621,3,1811,030059
MORTEGLIANO,32_table_01,1.0,,,inf,,,4814,5,4578,030062
MORUZZO,32_table_01,1.0,,,inf,,,2452,2,2270,030063
MUZZANA DEL TURGNANO,32_table_01,1.0,,,inf,,,2360,3,2412,030064
OSOPPO,32_table_01,1.0,,,inf,,,2826,4,3123,030066
PALUZZA,32_table_01,1.0,,,inf,,#,1995,5,2520,030071
PASIAN DI PRATO,32_table_01,1.0,,,inf,,,9265,8,8069,030072
PAVIA DI UDINE,32_table_01,1.0,,,inf,,,5514,6,5425,030074
PONTEBBA,32_table_01,1.0,,,inf,,,1322,2,1356,030076
POVOLETTO,32_table_01,1.0,,,inf,,,5410,6,4935,030078
POZZUOLO DEL FRIULI,32_table_01,1.0,,,inf,,,6906,9,6145,030079
PRADAMANO,32_table_01,1.0,,,inf,,,3522,4,3327,030080
PRATO CARNICO,32_table_01,1.0,,,inf,,,853,1,1227,030081
PRECENICCO,32_table_01,1.0,,,inf,,,1433,2,1554,030082
PREPOTTO,32_table_01,1.0,,,inf,,,713,1,823,030085
PULFERO,32_table_01,1.0,,,inf,,,855,2,1054,030086
RAGOGNA,32_table_01,1.0,,,inf,,,2812,4,2885,030087
RAVASCLETTO,32_table_01,1.0,,,inf,,,494,2,606,030088
RAVEO,32_table_01,1.0,,,inf,,,444,1,455,030089
REANA DEL ROJALE,32_table_01,1.0,,,inf,,#,4737,5,4544,030090
REMANZACCO,32_table_01,1.0,,,inf,,,6064,6,5300,030091
RESIA,32_table_01,1.0,,,inf,,,933,3,1133,030092
RIGOLATO,32_table_01,1.0,,,inf,,,369,1,571,030094
RIVE D'ARCANO,32_table_01,1.0,,,inf,,,2358,2,2584,030095
RIVIGNANO TEOR,32_table_01,1.0,,,inf,,#,6185,6,6481,030188
SAN GIOVANNI AL NATISONE,32_table_01,1.0,,,inf,,,6052,6,5010,030101
SAN LEONARDO,32_table_01,1.0,,,inf,,,1045,2,1196,030102
SAN PIETRO AL NATISONE,32_table_01,1.0,,,inf,,,2086,3,2150,030103
SAN VITO AL TORRE,32_table_01,1.0,,,inf,,#,1202,2,1148,030105
SAN VITO DI FAGAGNA,32_table_01,1.0,,,inf,,,1679,2,1525,030106
SANTA MARIA LA LONGA,32_table_01,1.0,,,inf,,,2313,2,2404,030104
SAPPADA,32_table_01,1.0,,,inf,,,1308,1,1223,030189
SEDEGLIANO,32_table_01,1.0,,,inf,,,3704,7,4022,030109
SOCCHIEVE,32_table_01,1.0,,,inf,,,860,2,1059,030110
STREGNA,32_table_01,1.0,,,inf,,,304,1,559,030111
TERZO D'AQUILEIA,32_table_01,1.0,,,inf,,,2729,2,2428,030120
TRASAGHIS,32_table_01,1.0,,,inf,,,2099,5,2497,030124
TREPPO GRANDE,32_table_01,1.0,,,inf,,,1699,2,2037,030126
TRIVIGNANO UDINESE,32_table_01,1.0,,,inf,,,1564,2,1729,030128
VENZONE,32_table_01,1.0,,,inf,,,1953,5,2173,030131
