comune,ref,numero_comuni,comuni_capoluogo,comuni_sup_15000,comuni_inf_15000,comuni_rinnovo_motivi_diversi,comuni_sciolti_rinnovo,popolazione_2021,sezioni_2023,elettori_2023,CODICE ISTAT
SAREZZANO,02_table_01,1.0,,,inf,,,1124,2,1048,006158
SERRALUNGA DI CREA,02_table_01,1.0,,,inf,,,509,1,468,006159
SEZZADIO,02_table_01,1.0,,,inf,,,1174,2,1350,006161
SILVANO D'ORBA,02_table_01,1.0,,,inf,,,1914,2,1705,006162
SOLERO,02_table_01,1.0,,,inf,,,1565,2,1384,006163
SOLONGHELLO,02_table_01,1.0,,,inf,,,195,1,183,006164
SPIGNO MONFERRATO,02_table_01,1.0,,,inf,,,923,2,1070,006165
SPINETO SCRIVIA,02_table_01,1.0,,,inf,,,367,1,286,006166
STAZZANO,02_table_01,1.0,,,inf,,,2337,2,1897,006167
STREVI,02_table_01,1.0,,,inf,,,1896,2,1683,006168
TAGLIOLO MONFERRATO,02_table_01,1.0,,,inf,,,1503,2,1246,006169
TASSAROLO,02_table_01,1.0,,,inf,,,599,1,499,006170
TERRUGGIA,02_table_01,1.0,,,inf,,,912,1,868,006171
TICINETO,02_table_01,1.0,,,inf,,,1307,2,1174,006173
TORTONA,02_table_01,1.0,,SUP,,,,26461,25,20139,006174
TREVILLE,02_table_01,1.0,,,inf,,,258,1,232,006175
TRISOBBIO,02_table_01,1.0,,,inf,,,667,1,553,006176
VIGNALE MONFERRATO,02_table_01,1.0,,,inf,,,943,1,967,006179
VIGNOLE BORBERA,02_table_01,1.0,,,inf,,,2022,2,1771,006180
VIGUZZOLO,02_table_01,1.0,,,inf,,,3054,3,2682,006181
VILLADEATI,02_table_01,1.0,,,inf,,,481,1,402,006182
VILLALVERNIA,02_table_01,1.0,,,inf,,,876,1,781,006183
VILLAMIROGLIO,02_table_01,1.0,,,inf,,,299,1,415,006184
VILLANOVA MONFERRATO,02_table_01,1.0,,,inf,,,1748,2,1634,006185
VILLAROMAGNANO,02_table_01,1.0,,,inf,,,653,1,562,006186
VISONE,02_table_01,1.0,,,inf,,,1138,1,894,006187
VOLPEGLINO,02_table_01,1.0,,,inf,,,134,1,112,006189
VOLTAGGIO,02_table_01,1.0,,,inf,,,667,1,688,006190
AGLIANO TERME,03_table_02,1.0,,,inf,,,1526,2,1197,005001
ANTIGNANO,03_table_02,1.0,,,inf,,,949,2,791,005003
ARAMENGO,03_table_02,1.0,,,inf,,,565,1,505,005004
AZZANO D'ASTI,03_table_02,1.0,,,inf,,,384,1,320,005006
BALDICHIERI D'ASTI,03_table_02,1.0,,,inf,,,1090,1,825,005007
BELVEGLIO,03_table_02,1.0,,,inf,,,314,1,364,005008
BERZANO DI SAN PIETRO,03_table_02,1.0,,,inf,,,397,1,314,005009
BRUNO,03_table_02,1.0,,,inf,,,297,1,341,005010
BUBBIO,03_table_02,1.0,,,inf,,,802,1,648,005011
BUTTIGLIERA D'ASTI,03_table_02,1.0,,,inf,,,2496,3,2215,005012
CALAMANDRANA,03_table_02,1.0,,,inf,,,1661,2,1290,005013
CALLIANO MONFERRATO,03_table_02,1.0,,,inf,,,1209,2,986,005014
CALOSSO,03_table_02,1.0,,,inf,,,1146,2,1013,005015
CAMERANO CASASCO,03_table_02,1.0,,,inf,,,407,1,339,005016
CANELLI,03_table_02,1.0,,,inf,,,10181,10,8412,005017
CANTARANA,03_table_02,1.0,,,inf,,,987,1,754,005018
CASSINASCO,03_table_02,1.0,,,inf,,,542,1,411,005021
CASTAGNOLE DELLE LANZE,03_table_02,1.0,,,inf,,,3648,3,2838,005022
CASTEL BOGLIONE,03_table_02,1.0,,,inf,,,572,1,427,005024
CASTEL ROCCHERO,03_table_02,1.0,,,inf,,,389,1,301,005032
CASTELL'ALFERO,03_table_02,1.0,,,inf,,,2637,3,2296,005025
CASTELLERO,03_table_02,1.0,,,inf,,,291,1,235,005026
CASTELLO DI ANNONE,03_table_02,1.0,,,inf,,,1809,2,1613,005028
CASTELNUOVO CALCEA,03_table_02,1.0,,,inf,,,692,1,572,005030
CASTELNUOVO DON BOSCO,03_table_02,1.0,,,inf,,,3109,3,2686,005031
CELLARENGO,03_table_02,1.0,,,inf,,,710,1,647,005033
CELLE ENOMONDO,03_table_02,1.0,,,inf,,,452,1,363,005034
CERRO TANARO,03_table_02,1.0,,,inf,,,588,1,683,005036
CESSOLE,03_table_02,1.0,,,inf,,,362,1,274,005037
CHIUSANO D'ASTI,03_table_02,1.0,,,inf,,,250,1,182,005038
CISTERNA D'ASTI,03_table_02,1.0,,,inf,,,1224,1,937,005040
COAZZOLO,03_table_02,1.0,,,inf,,,293,1,221,005041
COCCONATO,03_table_02,1.0,,,inf,,,1406,2,1145,005042
CORSIONE,03_table_02,1.0,,,inf,,,192,1,161,005044
CORTANDONE,03_table_02,1.0,,,inf,,,311,1,296,005045
CORTAZZONE,03_table_02,1.0,,,inf,,,588,1,530,005047
CORTIGLIONE,03_table_02,1.0,,,inf,,,536,1,421,005048
COSSOMBRATO,03_table_02,1.0,,,inf,,,518,1,402,005049
COSTIGLIOLE D'ASTI,03_table_02,1.0,,,inf,,,5679,6,4867,005050
CUNICO,03_table_02,1.0,,,inf,,,437,1,351,005051
DUSINO SAN MICHELE,03_table_02,1.0,,,inf,,,1088,1,907,005052
FERRERE,03_table_02,1.0,,,inf,,,1499,2,1241,005053
FONTANILE,03_table_02,1.0,,,inf,,,493,1,373,005054
FRINCO,03_table_02,1.0,,,inf,,,762,1,579,005055
GRANA MONFERRATO,03_table_02,1.0,,,inf,,,523,1,492,005056
GRAZZANO BADOGLIO,03_table_02,1.0,,,inf,,,577,1,444,005057
INCISA SCAPACCINO,03_table_02,1.0,,,inf,,,2028,2,1857,005058
ISOLA D'ASTI,03_table_02,1.0,,,inf,,,1964,2,1571,005059
LOAZZOLO,03_table_02,1.0,,,inf,,,296,1,240,005060
MARETTO,03_table_02,1.0,,,inf,,,380,1,299,005062
MOASCA,03_table_02,1.0,,,inf,,,514,1,425,005063
MOMBALDONE,03_table_02,1.0,,,inf,,,193,1,159,005064
MOMBARUZZO,03_table_02,1.0,,,inf,,,986,2,1107,005065
MONALE,03_table_02,1.0,,,inf,,,984,1,744,005067
MONCALVO,03_table_02,1.0,,,inf,,,2745,3,2452,005069
MONGARDINO,03_table_02,1.0,,,inf,,,863,1,705,005071
MONTABONE,03_table_02,1.0,,,inf,,,311,1,248,005072
MONTAFIA,03_table_02,1.0,,,inf,,,927,1,752,005073
MONTALDO SCARAMPI,03_table_02,1.0,,,inf,,,699,1,594,005074
MONTECHIARO D'ASTI,03_table_02,1.0,,,inf,,,1206,2,1008,005075
MONTEMAGNO MONFERRATO,03_table_02,1.0,,,inf,,,1053,1,1037,005077
PASSERANO MARMORITO,03_table_02,1.0,,,inf,,,432,1,384,005082
PENANGO,03_table_02,1.0,,,inf,,,445,1,412,005083
PIEA,03_table_02,1.0,,,inf,,,522,1,410,005084
PINO D'ASTI,03_table_02,1.0,,,inf,,,205,1,176,005085
PORTACOMARO,03_table_02,1.0,,,inf,,,1926,2,1685,005087
REFRANCORE,03_table_02,1.0,,,inf,,,1579,2,1376,005089
REVIGLIASCO D'ASTI,03_table_02,1.0,,,inf,,,729,1,711,005090
ROBELLA,03_table_02,1.0,,,inf,,,437,1,353,005092
ROCCAVERANO,03_table_02,1.0,,,inf,,,368,1,294,005094
ROCCHETTA PALAFEA,03_table_02,1.0,,,inf,,,342,1,297,005095
ROCCHETTA TANARO,03_table_02,1.0,,,inf,,,1367,2,1028,005096
SAN DAMIANO D'ASTI,03_table_02,1.0,,,inf,,,8075,7,6111,005097
SAN GIORGIO SCARAMPI,03_table_02,1.0,,,inf,,,97,1,77,005098
SAN MARTINO ALFIERI,03_table_02,1.0,,,inf,,,660,1,564,005099
SAN MARZANO OLIVETO,04_table_01,1.0,,,inf,,,989,1,987,005100
SEROLE,04_table_01,1.0,,,inf,,,102,1,79,005104
SESSAME,04_table_01,1.0,,,inf,,,239,1,218,005105
SOGLIO,04_table_01,1.0,,,inf,,,135,1,134,005107
TIGLIOLE,04_table_01,1.0,,,inf,,,1703,2,1439,005108
VAGLIO SERRA,04_table_01,1.0,,,inf,,,276,1,261,005111
VIARIGI,04_table_01,1.0,,,inf,,,868,1,794,005115
VIGLIANO D'ASTI,04_table_01,1.0,,,inf,,,816,1,627,005116
VILLA SAN SECONDO,04_table_01,1.0,,,inf,,,379,1,294,005119
VILLAFRANCA D'ASTI,04_table_01,1.0,,,inf,,,2930,3,2275,005117
VINCHIO,04_table_01,1.0,,,inf,,,548,1,449,005120
ANDORNO MICCA,04_table_02,1.0,,,inf,,,3043,4,2491,096002
BENNA,04_table_02,1.0,,,inf,,,1146,1,990,096003
BIELLA,04_table_02,1.0,CAP,SUP,,,,42783,46,37222,096004
BIOGLIO,04_table_02,1.0,,,inf,,,905,1,870,096005
BORRIANA,04_table_02,1.0,,,inf,,,861,1,740,096006
BRUSNENGO,04_table_02,1.0,,,inf,,,1975,2,2414,096007
CALLABIANA,04_table_02,1.0,,,inf,,,147,1,116,096008
CAMANDONA,04_table_02,1.0,,,inf,,,311,1,321,096009
CAMBURZANO,04_table_02,1.0,,,inf,,,1120,1,1006,096010
CANDELO,04_table_02,1.0,,,inf,,,7271,8,6454,096012
CAPRILE,04_table_02,1.0,,,inf,,,196,1,174,096013
CASAPINTA,04_table_02,1.0,,,inf,,,397,1,314,096014
CAVAGLIA',04_table_02,1.0,,,inf,,,3546,4,2942,096016
CERRIONE,04_table_02,1.0,,,inf,,,2810,3,2481,096018
COSSATO,04_table_02,1.0,,,inf,,,14015,13,12199,096020
CREVACUORE,04_table_02,1.0,,,inf,,,1390,2,1269,096021
CURINO,04_table_02,1.0,,,inf,,,463,1,564,096023
DONATO,04_table_02,1.0,,,inf,,,710,1,626,096024
DORZANO,04_table_02,1.0,,,inf,*,,528,1,491,096025
GAGLIANICO,04_table_02,1.0,,,inf,,,3741,4,3338,096026
GIFFLENGA,04_table_02,1.0,,,inf,,,104,1,85,096027
GRAGLIA,04_table_02,1.0,,,inf,,,1466,2,1331,096028
MAGNANO,04_table_02,1.0,,,inf,,,366,1,295,096030
MASSAZZA,04_table_02,1.0,,,inf,,,569,1,424,096031
MIAGLIANO,04_table_02,1.0,,,inf,,,548,1,418,096034
MONGRANDO,04_table_02,1.0,,,inf,,,3667,5,3226,096035
MOTTALCIATA,04_table_02,1.0,,,inf,,,1332,2,1155,096037
MUZZANO,04_table_02,1.0,,,inf,,,578,1,477,096038
NETRO,04_table_02,1.0,,,inf,,,939,1,861,096039
OCCHIEPPO INFERIORE,04_table_02,1.0,,,inf,,,3753,4,3299,096040
OCCHIEPPO SUPERIORE,04_table_02,1.0,,,inf,,,2638,3,2334,096041
PETTINENGO,04_table_02,1.0,,,inf,,,1470,2,1319,096042
PIATTO,04_table_02,1.0,,,inf,,,478,1,413,096043
PIEDICAVALLO,04_table_02,1.0,,,inf,,,174,1,155,096044
POLLONE,04_table_02,1.0,,,inf,,,2033,2,1883,096046
PONDERANO,04_table_02,1.0,,,inf,,,3740,5,3148,096047
PORTULA,04_table_02,1.0,,,inf,,,1133,1,953,096048
PRALUNGO,04_table_02,1.0,,,inf,,,2290,4,2201,096049
PRAY,04_table_02,1.0,,,inf,,,2008,3,1892,096050
QUAREGNA CERRETO,04_table_02,1.0,,,inf,,,2031,2,1724,096087
RONCO BIELLESE,04_table_02,1.0,,,inf,,,1432,2,1255,096053
ROPPOLO,04_table_02,1.0,,,inf,,,861,1,714,096054
SAGLIANO MICCA,04_table_02,1.0,,,inf,,,1540,2,1576,096056
SALA BIELLESE,04_table_02,1.0,,,inf,,,571,1,514,096057
SANDIGLIANO,04_table_02,1.0,,,inf,,,2570,3,2326,096059
SORDEVOLO,04_table_02,1.0,,,inf,,,1299,1,1051,096063
SOSTEGNO,04_table_02,1.0,,,inf,,,740,1,673,096064
STRONA,04_table_02,1.0,,,inf,,,967,2,934,096065
TOLLEGNO,04_table_02,1.0,,,inf,,,2383,3,2094,096068
VALDENGO,04_table_02,1.0,,,inf,,,2396,4,2143,096071
VALDILANA,04_table_02,1.0,,,inf,,,10235,12,9523,096088
VALLE SAN NICOLAO,04_table_02,1.0,,,inf,,,881,1,864,096074
VERRONE,04_table_02,1.0,,,inf,,,1177,1,1001,096076
VIGLIANO BIELLESE,04_table_02,1.0,,,inf,,,7596,8,6802,096077
VILLA DEL BOSCO,04_table_02,1.0,,,inf,,,316,1,279,096078
VILLANOVA BIELLESE,04_table_02,1.0,,,inf,,,182,1,156,096079
VIVERONE,04_table_02,1.0,,,inf,,,1353,2,1203,096080
ZIMONE,04_table_02,1.0,,,inf,,,392,1,349,096081
